conversation,facet,answer_text,confidence
"I’d appreciate that. My grandson usually helps, but he’s busy with school lately. I feel so helpless.",Social Connectedness,"I’d appreciate that. My grandson usually helps, but he’s busy with school lately. I feel so helpless.",0.83
"I managed to get to the stories! But I’m feeling a bit down today. My health has been off, and I’m worried about my family.",Self-Efficacy,"I managed to get to the stories! But I’m feeling a bit down today. My health has been off, and I’m worried about my family.",0.87
"Well, I had a fall last week, and it shook me up. I remember back in the day, I slipped in the kitchen while baking. I thought I broke my hip then, but I learned to always be careful and mindful. That taught me to value my health and strength.",Physical Safety,"Well, I had a fall last week, and it shook me up. I remember back in the day, I slipped in the kitchen while baking. I thought I broke my hip then, but I learned to always be careful and mindful. That taught me to value my health and strength.",0.9
"I talked to my daughter about it. She said I should consider moving into assisted living, but I don’t want to leave my home.",Social Connectedness,"I talked to my daughter about it. She said I should consider moving into assisted living, but I don’t want to leave my home.",0.72
"My garden is beautiful, and I love my cozy chair by the window. But, I guess I worry about being safe alone.",Physical Safety,"My garden is beautiful, and I love my cozy chair by the window. But, I guess I worry about being safe alone.",0.69
"Yes, please! I want to stay here for as long as I can.",Self-Efficacy,"Yes, please! I want to stay here for as long as I can.",0.89
That sounds manageable! I’ll talk to my daughter about it. Thank you for being so helpful!,Social Connectedness,That sounds manageable! I’ll talk to my daughter about it. Thank you for being so helpful!,0.72
"Hello, StoryBot. I’m having a tough time with this app. It keeps logging me out, and I can't seem to type very well today.",Self-Efficacy,"Hello, StoryBot. I’m having a tough time with this app. It keeps logging me out, and I can't seem to type very well today.",0.73
"I suppose it’s about those connections, but sometimes I feel lonely, even with family nearby.",Social Connectedness,"I suppose it’s about those connections, but sometimes I feel lonely, even with family nearby.",0.87
I did! My granddaughter called me yesterday. We talked for an hour about her new job.,Social Connectedness,I did! My granddaughter called me yesterday. We talked for an hour about her new job.,0.88
It made me feel happy! Family can be a great comfort. Just wish I could do more things with them.,Social Connectedness,It made me feel happy! Family can be a great comfort. Just wish I could do more things with them.,0.83
"Yes, I have an appointment next week. Hope this app works better by then!",Health Agency,"Yes, I have an appointment next week. Hope this app works better by then!",0.82
"I just had a seizure last night. It's freaking me out, and I feel so lost.",Physical Safety,"I just had a seizure last night. It's freaking me out, and I feel so lost.",0.73
"Not yet. I have an appointment next week, but waiting is so hard.",Health Agency,"Not yet. I have an appointment next week, but waiting is so hard.",0.68
"I was going to try to go for a walk, but I'm worried what if I have another seizure.",Physical Safety,"I was going to try to go for a walk, but I'm worried what if I have another seizure.",0.66
"Well, I wanted to know how to check my messages. But I end up tapping all sorts of things!",Autonomy,"Well, I wanted to know how to check my messages. But I end up tapping all sorts of things!",0.65
Got it! I hope I can meet some nice people on it. Thank you for your help!,Self-Efficacy,Got it! I hope I can meet some nice people on it. Thank you for your help!,0.73
