conversation,facet,answer_text,confidence
"Hello StoryBot, I’m having a tough time with this app. My fingers aren’t what they used to be. Can you help me?",Support Utilization,Can you help me?,0.85
"I’d appreciate that. My grandson usually helps, but he’s busy with school lately. I feel so helpless.",Social Connectedness,My grandson usually helps,0.85
I’d like to read the daily stories! They used to lift my spirits.,Optimism,They used to lift my spirits,0.85
"I managed to get to the stories! But I’m feeling a bit down today. My health has been off, and I’m worried about my family.",Self-Efficacy,,0.55
"Well, I had a fall last week, and it shook me up. I remember back in the day, I slipped in the kitchen while baking. I thought I broke my hip then, but I learned to always be careful and mindful. That taught me to value my health and strength.",Physical Safety,,0.55
"I talked to my daughter about it. She said I should consider moving into assisted living, but I don’t want to leave my home.",Social Connectedness,I talked to my daughter,0.9
"My garden is beautiful, and I love my cozy chair by the window. But, I guess I worry about being safe alone.",Physical Safety,I guess I worry about being safe alone,0.9
"Yes, please! I want to stay here for as long as I can.",Self-Efficacy,,0.55
That sounds manageable! I’ll talk to my daughter about it. Thank you for being so helpful!,Social Connectedness,I’ll talk to my daughter about it,0.85
"Not yet! I’ll give that a try. Meanwhile, my knees are acting up again. It’s hard to get up and down.",Health Agency,I’ll give that a try,0.85
"I used to enjoy painting, but it’s been a long time. Maybe I’ll pick it up again…",Growth Mindset,Maybe I’ll pick it up again,0.85
"Mostly landscapes. I loved capturing the colors of sunsets. Speaking of colors, what do you think about life? What's the point of all this?",Purpose,What's the point of all this?,0.85
"I suppose it’s about those connections, but sometimes I feel lonely, even with family nearby.",Social Connectedness,"I feel lonely, even with family nearby",0.9
I did! My granddaughter called me yesterday. We talked for an hour about her new job.,Social Connectedness,My granddaughter called me yesterday. We talked for an hour,0.9
It made me feel happy! Family can be a great comfort. Just wish I could do more things with them.,Social Connectedness,Family can be a great comfort,0.85
"That’s a good idea! I’ll suggest a picnic in the park next time we chat. Thanks, StoryBot.",Social Connectedness,I’ll suggest a picnic in the park next time we chat,0.85
"I did. Still no luck. Also, my knees have been acting up. Makes it hard to get around!",Physical Safety,Makes it hard to get around,0.85
"Yes, I have an appointment next week. Hope this app works better by then!",Health Agency,I have an appointment next week,0.85
Hey StoryBot! I'm having a pretty rough morning. My anxiety is acting up again.,Emotional Regulation,My anxiety is acting up again,0.85
"I just had a seizure last night. It's freaking me out, and I feel so lost.",Physical Safety,,0.55
"Not yet. I have an appointment next week, but waiting is so hard.",Health Agency,I have an appointment next week,0.85
"Yes, please! That would really help.",Support Utilization,That would really help,0.85
"Thanks, StoryBot! I will definitely check them out. Hopefully, they'll help.",Optimism,"Hopefully, they'll help.",0.85
"I was going to try to go for a walk, but I'm worried what if I have another seizure.",Physical Safety,I'm worried what if I have another seizure,0.9
I didn't go for a walk after all. Just felt too anxious. I stayed inside.,Emotional Regulation,felt too anxious,0.85
"I listened to 'Chill Vibes' yesterday. It was nice, helped me feel a bit better.",Emotional Regulation,helped me feel a bit better,0.85
I need to tell them about the seizures for sure. It's kind of scary!,Health Agency,I need to tell them about the seizures,0.85
"Thanks, StoryBot. I really appreciate your support!",Support Utilization,I really appreciate your support,0.85
"Well, I wanted to know how to check my messages. But I end up tapping all sorts of things!",Autonomy,,0.55
"I tried that, but it just makes me go in circles! Maybe I’m too old for this tech stuff.",Locus of Control,it just makes me go in circles,0.85
"Yes, please! I need a little hand-holding.",Support Utilization,I need a little hand-holding,0.85
"Well, I was just feeling a bit overwhelmed. Sometimes it feels lonely at my age.",Social Connectedness,it feels lonely,0.9
"Not really. My kids are busy with their lives, and I feel like I’m just here. But I try my best!",Social Connectedness,"My kids are busy with their lives, and I feel like I’m just here",0.85
"I’ve considered it, but going out feels hard on my legs these days.",Physical Safety,going out feels hard on my legs,0.85
Maybe I’ll try! Just got to figure out how to set it up.,Growth Mindset,Maybe I’ll try,0.85
"Good morning, StoryBot! I’m ready to try out this virtual chatting!",Growth Mindset,I’m ready to try out this virtual chatting,0.85
"Alright, I’m creating an account. This is exciting!",Autonomy,I’m creating an account,0.85
Got it! I hope I can meet some nice people on it. Thank you for your help!,Self-Efficacy,,0.55
"Hi again, StoryBot! I actually got a Zoom link from my daughter!",Social Connectedness,got a Zoom link from my daughter,0.85
"Yes, I did! It was a little nerve-racking but I did it!",Self-Efficacy,I did it,0.85
It was nice to see my daughter and her friends! I felt a bit more connected.,Social Connectedness,I felt a bit more connected,0.9
"Yes, I spoke with them last week. They told me to get more rest and take my meds regularly.",Health Agency,,0.55
"Some nights I sleep fine, but others I just can’t seem to settle down.",Emotional Regulation,I just can’t seem to settle down,0.85
"Yes, that could be helpful! I usually just watch TV, but maybe there’s a better way.",Growth Mindset,maybe there’s a better way,0.85
Those sound nice! I’ll give them a shot. Thanks for your support.,Optimism,I’ll give them a shot,0.85
Hi StoryBot! I tried reading before bed last night. It helped!,Emotional Regulation,It helped,0.85
It was a lovely mystery novel. Just the distraction I needed!,Emotional Regulation,Just the distraction I needed,0.85
Yes! I had forgotten how much I love reading. Thank you for encouraging me!,Social Connectedness,Thank you for encouraging me,0.85
"Good morning, StoryBot! I’m thinking about trying a virtual book club. Got any tips?",Social Connectedness,trying a virtual book club,0.85
I’ve heard of those! I’ll check them out. Thank you!,Autonomy,I’ll check them out,0.85
I really look forward to it! I love sharing thoughts on stories with others.,Social Connectedness,I love sharing thoughts on stories with others,0.85
"Morning, StoryBot! Just wanted to let you know I found a book club online!",Social Connectedness,I found a book club online,0.85
It’s called ‘Readers Without Borders’. They meet every week for a virtual chat!,Social Connectedness,They meet every week for a virtual chat,0.85
"Not yet, but I’m planning to join the next one. Looking forward to it!",Optimism,Looking forward to it,0.85
Hi StoryBot! I had my first book club meeting yesterday!,Social Connectedness,I had my first book club meeting,0.85
"It was fantastic! Everyone was so friendly, and we talked about the book for hours!",Social Connectedness,we talked about the book for hours,0.9
